outcome;exposure;model;sex;N0;personyears0;cases0;N1;personyears1;cases1;estimate;se;HR;CI_left;CI_right;pval
D00;D11;sex-interaction time-comorbidity-adjusted;women;1840514;24506733.3896474;48259;29135;298347.607275994;1516;0.68685696;0.02788927;1.98745904292364;1.8817364520366;2.09912150185745;6.33365090213338e-134
D00;D11;sex-interaction time-number_como-adjusted;men;1739407;22874424.7018639;32413;54747;534758.331581706;2498;0.89467738;0.02217637;2.44654635734006;2.34248537900797;2.5552300698452;0
D00;D11;sex-interaction time-number_como-adjusted;women;1840514;24506733.3896474;48259;29135;298347.607275994;1516;0.55004473;0.02747945;1.73333054800883;1.64244502038174;1.82924527236979;3.94881256678274e-89
D00;D12;sex-interaction crude;men;1767622;23327343.050393;34575;8793;81839.9830526239;336;2.6151963;0.055482;13.6698995158101;12.2613688772372;15.2402357879679;0
D00;D12;sex-interaction crude;women;1856281;24780525.6387005;49714;2512;24555.3582229209;61;1.9733131;0.12835139;7.19447305505556;5.59430434120344;9.25234656232268;2.43450915146094e-53
D00;D12;sex-interaction kessler-adjusted;men;1767622;23327343.050393;34575;8793;81839.9830526239;336;1.2902051;0.05685439;3.63353171668904;3.25038204986387;4.06184643332562;5.23530625888846e-114
D00;D12;sex-interaction kessler-adjusted;women;1856281;24780525.6387005;49714;2512;24555.3582229209;61;0.67309294;0.12902014;1.96029101644744;1.52229355038876;2.52431002429407;1.81883286443714e-07
D00;D12;sex-interaction time-adjusted;men;1767622;23327343.050393;34575;8793;81839.9830526239;336;2.6200869;0.05552634;13.7369172713224;12.3204104513491;15.3162832410743;0
D00;D12;sex-interaction time-adjusted;women;1856281;24780525.6387005;49714;2512;24555.3582229209;61;1.976558;0.12835965;7.21785631832982;5.61239592199869;9.28256854222441;1.67269556894059e-53
D00;D12;sex-interaction time-comorbidity-adjusted;men;1767622;23327343.050393;34575;8793;81839.9830526239;336;1.3399717;0.05696152;3.81893542796444;3.41551802400165;4.27000170998216;2.30896232410863e-122
D00;D12;sex-interaction time-comorbidity-adjusted;women;1856281;24780525.6387005;49714;2512;24555.3582229209;61;0.60586515;0.12900662;1.83283720226394;1.42335508553475;2.36012239260776;2.64802243838877e-06
D00;D12;sex-interaction time-number_como-adjusted;men;1767622;23327343.050393;34575;8793;81839.9830526239;336;1.3258407;0.05617944;3.76534955411259;3.37275872056528;4.203638160716;3.84452954849865e-123
D00;D12;sex-interaction time-number_como-adjusted;women;1856281;24780525.6387005;49714;2512;24555.3582229209;61;0.6147311;0.12882063;1.84915929376447;1.43655416468033;2.38027230562267;1.82412159328984e-06
D00;D20;sex-interaction crude;men;1751887;23108115.6634404;33169;28617;301067.370005241;1742;2.0168356;0.02465724;7.51450836069738;7.15998794736223;7.88658253590968;0
D00;D20;sex-interaction crude;women;1834400;24471625.1118572;47047;31226;333455.885066248;2728;1.6301727;0.01970219;5.10475623381727;4.91139058798194;5.3057348504232;0
D00;D20;sex-interaction kessler-adjusted;men;1751887;23108115.6634404;33169;28617;301067.370005241;1742;1.0727681;0.02620331;2.9234607416533;2.77710927098926;3.07752481951983;0
D00;D20;sex-interaction kessler-adjusted;women;1834400;24471625.1118572;47047;31226;333455.885066248;2728;0.83986643;0.02091293;2.31605760030617;2.22304491707295;2.41296195445247;0
D00;D20;sex-interaction time-adjusted;men;1751887;23108115.6634404;33169;28617;301067.370005241;1742;2.0170031;0.02465742;7.51576714626814;7.1611848193702;7.88790643192636;0
D00;D20;sex-interaction time-adjusted;women;1834400;24471625.1118572;47047;31226;333455.885066248;2728;1.6301601;0.0197022;5.10469191429394;4.91132860859013;5.30566810257443;0
D00;D20;sex-interaction time-comorbidity-adjusted;men;1751887;23108115.6634404;33169;28617;301067.370005241;1742;1.154757;0.02626511;3.17325222354101;3.0140308338169;3.34088475845356;0
D00;D20;sex-interaction time-comorbidity-adjusted;women;1834400;24471625.1118572;47047;31226;333455.885066248;2728;0.87830746;0.02108473;2.40682261352282;2.30938706287127;2.50836907597577;0
D00;D20;sex-interaction time-number_como-adjusted;men;1751887;23108115.6634404;33169;28617;301067.370005241;1742;1.1627828;0.02563312;3.19882258528519;3.04208400340872;3.36363687546594;0
D00;D20;sex-interaction time-number_como-adjusted;women;1834400;24471625.1118572;47047;31226;333455.885066248;2728;0.83314663;0.02072248;2.30054633112544;2.20898098300335;2.39590719086182;0
D00;D21;sex-interaction crude;men;1761315;23243393.6965342;34267;15136;165789.336911446;644;1.8670645;0.03990543;6.46927793321727;5.98257629897048;6.9955742953774;0
D00;D21;sex-interaction crude;women;1849370;24680355.0090201;49179;11327;124725.987903286;596;1.3640226;0.0412324;3.91189769403867;3.60819836897593;4.2411591613707;5.5155859235085e-240
D00;D21;sex-interaction kessler-adjusted;men;1761315;23243393.6965342;34267;15136;165789.336911446;644;0.86395623;0.04112958;2.37252841915684;2.18877873821968;2.57170402901726;5.81517620202931e-98
D00;D21;sex-interaction kessler-adjusted;women;1849370;24680355.0090201;49179;11327;124725.987903286;596;0.56275871;0.0419388;1.75550876588933;1.61697993614625;1.90590554540779;4.70710528554998e-41
D00;D21;sex-interaction time-adjusted;men;1761315;23243393.6965342;34267;15136;165789.336911446;644;1.8672571;0.03990558;6.47052403614307;5.98372689495026;6.9969238298021;0
D00;D21;sex-interaction time-adjusted;women;1849370;24680355.0090201;49179;11327;124725.987903286;596;1.364069;0.04123241;3.91207921030282;3.60836572254179;4.24135603885043;5.31525830846705e-240
D00;D21;sex-interaction time-comorbidity-adjusted;men;1761315;23243393.6965342;34267;15136;165789.336911446;644;0.95037973;0.04114255;2.58669171729142;2.3862946655536;2.80391777968114;4.66441630330721e-118
D00;D21;sex-interaction time-comorbidity-adjusted;women;1849370;24680355.0090201;49179;11327;124725.987903286;596;0.59426866;0.04201612;1.81170548764792;1.66848925292678;1.96721481317066;2.03892999105402e-45
D00;D21;sex-interaction time-number_como-adjusted;men;1761315;23243393.6965342;34267;15136;165789.336911446;644;0.99521525;0.0404689;2.70530659585681;2.49901752218286;2.92862443445119;1.53457598251721e-133
D00;D21;sex-interaction time-number_como-adjusted;women;1849370;24680355.0090201;49179;11327;124725.987903286;596;0.60480021;0.04164265;1.8308863795527;1.68738858145313;1.98658742371293;8.59085077791532e-48
D00;D22;sex-interaction crude;men;1771736;23384704.1896624;34743;2314;24478.8437832174;168;2.1059054;0.07736299;8.21453708555905;7.05881172098285;9.55948709177773;3.65537950069927e-163
D00;D22;sex-interaction crude;women;1855197;24764615.4100007;49481;3663;40465.5869226739;294;1.6186226;0.05850574;5.04613498120095;4.49944230426801;5.65925208649663;1.78942682300365e-168
D00;D22;sex-interaction kessler-adjusted;men;1771736;23384704.1896624;34743;2314;24478.8437832174;168;0.72922129;0.07803498;2.07346535064414;1.77939877370408;2.41612988828373;9.20632014049018e-21
D00;D22;sex-interaction kessler-adjusted;women;1855197;24764615.4100007;49481;3663;40465.5869226739;294;0.38517689;0.059124;1.46987430451199;1.30904253330843;1.65046621182289;7.28205764399362e-11
